Time [Sec] - Base	g - Base	Time [Sec] - Ground	g - Ground
0,0892	0,0405961	0,0892	-0,0456057
0,0894	0,0413078	0,0894	-0,0510589
0,0896	0,0421516	0,0896	-0,0479271
0,0898	0,0431437	0,0898	-0,03762
0,09	0,0442688	0,09	-0,0227039
0,0902	0,0454795	0,0902	-0,00647417
0,0904	0,0467006	0,0904	0,0075794
0,0906	0,0478377	0,0906	0,0163357
0,0908	0,0487892	0,0908	0,0175528
0,091	0,0494637	0,091	0,0102356
0,0912	0,0497974	0,0912	-0,00516607
0,0914	0,0497717	0,0914	-0,0267907
0,0916	0,0494264	0,0916	-0,0515882
0,0918	0,048867	0,0918	-0,0757297
0,092	0,0482618	0,092	-0,0951276
0,0922	0,0478297	0,0922	-0,106007
0,0924	0,0478179	0,0924	-0,105437
0,0926	0,0484699	0,0926	-0,0917759
0,0928	0,0499899	0,0928	-0,0649379
0,093	0,0525063	0,093	-0,0264766
0,0932	0,0560391	0,0932	0,0205521
0,0934	0,0604792	0,0934	0,0719262
0,0936	0,0655823	0,0936	0,12275
0,0938	0,0709814	0,0938	0,168049
0,094	0,076217	0,094	0,203389
0,0942	0,080786	0,0942	0,225443
0,0944	0,0841992	0,0944	0,232424
0,0946	0,086045	0,0946	0,224335
0,0948	0,0860491	0,0948	0,202992
0,095	0,0841207	0,095	0,171805
0,0952	0,0803783	0,0952	0,135321
0,0954	0,0751511	0,0954	0,098629
0,0956	0,0689519	0,0956	0,0666253
0,0958	0,0624234	0,0958	0,0433375
0,096	0,0562662	0,096	0,0313299
0,0962	0,0511528	0,0962	0,0313056
0,0964	0,0476417	0,0964	0,0419877
0,0966	0,0461033	0,0966	0,0602701
0,0968	0,0466655	0,0968	0,0816458
0,097	0,0491898	0,097	0,1009
0,0972	0,0532813	0,0972	0,1129
0,0974	0,0583296	0,0974	0,11344
0,0976	0,0635799	0,0976	0,0999575
0,0978	0,0682212	0,0978	0,0720256
0,098	0,0714834	0,098	0,0315371
0,0982	0,0727292	0,0982	-0,017467
0,0984	0,0715291	0,0984	-0,0693042
0,0986	0,0677088	0,0986	-0,117427
0,0988	0,0613652	0,0988	-0,155387
0,099	0,0528469	0,099	-0,177784
0,0992	0,0427057	0,0992	-0,181132
0,0994	0,0316244	0,0994	-0,16443
0,0996	0,0203327	0,0996	-0,129366
0,0998	0,00952338	0,0998	-0,0801663
0,1	-0,0002233	0,1	-0,0229912
0,1002	-0,00849335	0,1002	0,0349187
0,1004	-0,0150685	0,1004	0,0862838
0,1006	-0,0199275	0,1006	0,124872
0,1008	-0,0232208	0,1008	0,146386
0,101	-0,0252256	0,101	0,149084
0,1012	-0,0262884	0,1012	0,134004
0,1014	-0,0267657	0,1014	0,104732
0,1016	-0,0269712	0,1016	0,0668197
0,1018	-0,0271351	0,1018	0,02687
0,102	-0,0273831	0,102	-0,00850466
0,1022	-0,0277339	0,1022	-0,0337256
0,1024	-0,0281163	0,1024	-0,0451022
0,1026	-0,0284006	0,1026	-0,0413598
0,1028	-0,0284368	0,1028	-0,0237721
0,103	-0,0280965	0,103	0,00413808
0,1032	-0,0273055	0,1032	0,0372601
0,1034	-0,0260677	0,1034	0,0697821
0,1036	-0,0244743	0,1036	0,0962214
0,1038	-0,0226971	0,1038	0,112325
0,104	-0,0209698	0,104	0,115792
0,1042	-0,0195569	0,1042	0,106638
0,1044	-0,0187171	0,1044	0,0871336
0,1046	-0,0186656	0,1046	0,0613853
0,1048	-0,0195404	0,1048	0,0345761
0,105	-0,0213786	0,105	0,0120311
0,1052	-0,0241055	0,1052	-0,00172176
0,1054	-0,0275373	0,1054	-0,00375194
0,1056	-0,0313971	0,1056	0,0067359
0,1058	-0,0353417	0,1058	0,0282932
0,106	-0,0389981	0,106	0,057451
0,1062	-0,042003	0,1062	0,0893588
0,1064	-0,0440443	0,1064	0,118653
0,1066	-0,0448967	0,1066	0,140419
0,1068	-0,0444504	0,1068	0,151097
0,107	-0,0427254	0,107	0,149158
0,1072	-0,0398733	0,1072	0,1354
0,1074	-0,0361638	0,1074	0,112869
0,1076	-0,0319591	0,1076	0,0863398
0,1078	-0,0276763	0,1078	0,0614763
0,108	-0,023744	0,108	0,0438143
0,1082	-0,0205567	0,1082	0,0377113
0,1084	-0,0184301	0,1084	0,0454757
0,1086	-0,0175665	0,1086	0,0668175
0,1088	-0,0180305	0,1088	0,0987306
0,109	-0,0197412	0,109	0,135839
0,1092	-0,0224814	0,1092	0,17118
0,1094	-0,025923	0,1094	0,197293
0,1096	-0,029665	0,1096	0,20746
0,1098	-0,0332816	0,1098	0,196881
0,11	-0,036372	0,11	0,163602
0,1102	-0,038608	0,1102	0,109054
0,1104	-0,0397721	0,1104	0,0380458
0,1106	-0,0397815	0,1106	-0,0417328
0,1108	-0,0386953	0,1108	-0,120698
0,111	-0,0367022	0,111	-0,188696
0,1112	-0,0340925	0,1112	-0,236403
0,1114	-0,0312158	0,1114	-0,256711
0,1116	-0,0284328	0,1116	-0,245735
0,1118	-0,0260668	0,1118	-0,203405
0,112	-0,0243608	0,112	-0,133548
0,1122	-0,02345	0,1122	-0,0433265
0,1124	-0,0233487	0,1124	0,0577399
0,1126	-0,0239556	0,1126	0,15905
0,1128	-0,0250777	0,1128	0,250435
0,113	-0,0264671	0,113	0,323428
0,1132	-0,0278662	0,1132	0,37232
0,1134	-0,0290545	0,1134	0,39479
0,1136	-0,0298884	0,1136	0,391941
0,1138	-0,030328	0,1138	0,36789
0,114	-0,030447	0,114	0,328921
0,1142	-0,030423	0,1142	0,282314
0,1144	-0,0305102	0,1144	0,235195
0,1146	-0,0309974	0,1146	0,193425
0,1148	-0,0321582	0,1148	0,160833
0,115	-0,0341998	0,115	0,138829
0,1152	-0,0372196	0,1152	0,126446
0,1154	-0,0411739	0,1154	0,120795
0,1156	-0,0458692	0,1156	0,117835
0,1158	-0,0509734	0,1158	0,113275
0,116	-0,0560502	0,116	0,103508
0,1162	-0,0606113	0,1162	0,086308
0,1164	-0,0641783	0,1164	0,0612811
0,1166	-0,0663481	0,1166	0,0299027
0,1168	-0,0668516	0,1168	-0,00476188
0,117	-0,0655994	0,117	-0,0386626
0,1172	-0,0627046	0,1172	-0,0675096
0,1174	-0,0584824	0,1174	-0,0875677
0,1176	-0,0534207	0,1176	-0,0963063
0,1178	-0,0481277	0,1178	-0,092844
0,118	-0,0432617	0,118	-0,0780475
0,1182	-0,0394536	0,1182	-0,054353
0,1184	-0,0372283	0,1184	-0,025293
0,1186	-0,0369387	0,1186	0,00515144
0,1188	-0,0387179	0,1188	0,0332321
0,119	-0,0424574	0,119	0,0560525
0,1192	-0,0478138	0,1192	0,0719799
0,1194	-0,0542454	0,1194	0,0808035
0,1196	-0,0610715	0,1196	0,083614
0,1198	-0,0675486	0,1198	0,0824493
0,12	-0,0729527	0,12	0,0797771
0,1202	-0,0766606	0,1202	0,0779409
0,1204	-0,0782149	0,1204	0,0786564
